"","seqnames","strand","n","type","group","mb"
"12940","chr16","-",19156,"repeat_type","MER4B#LTR/ERV1",0.019156
"12941","chr17","+",16289,"repeat_type","MER4B#LTR/ERV1",0.016289
"12942","chr17","-",20306,"repeat_type","MER4B#LTR/ERV1",0.020306
"12943","chr18","+",12609,"repeat_type","MER4B#LTR/ERV1",0.012609
"12944","chr18","-",18961,"repeat_type","MER4B#LTR/ERV1",0.018961
"12945","chr19","+",18260,"repeat_type","MER4B#LTR/ERV1",0.01826
"12946","chr19","-",6836,"repeat_type","MER4B#LTR/ERV1",0.006836
"12947","chr20","+",13696,"repeat_type","MER4B#LTR/ERV1",0.013696
"12948","chr20","-",3544,"repeat_type","MER4B#LTR/ERV1",0.003544
"12949","chr21","+",8078,"repeat_type","MER4B#LTR/ERV1",0.008078
"12950","chr21","-",11500,"repeat_type","MER4B#LTR/ERV1",0.0115
"12951","chr22","+",5747,"repeat_type","MER4B#LTR/ERV1",0.005747
"12952","chr22","-",5484,"repeat_type","MER4B#LTR/ERV1",0.005484
"12953","chrX","+",45630,"repeat_type","MER4B#LTR/ERV1",0.04563
"12954","chrX","-",101565,"repeat_type","MER4B#LTR/ERV1",0.101565
"12955","chrY","+",23382,"repeat_type","MER4B#LTR/ERV1",0.023382
"12956","chrY","-",36970,"repeat_type","MER4B#LTR/ERV1",0.03697
"12957","chr1","+",252397,"repeat_type","AluSc8#SINE/Alu",0.252397
"12958","chr1","-",246386,"repeat_type","AluSc8#SINE/Alu",0.246386
"12959","chr2","+",230539,"repeat_type","AluSc8#SINE/Alu",0.230539
"12960","chr2","-",222607,"repeat_type","AluSc8#SINE/Alu",0.222607
"12961","chr3","+",176422,"repeat_type","AluSc8#SINE/Alu",0.176422
"12962","chr3","-",181803,"repeat_type","AluSc8#SINE/Alu",0.181803
"12963","chr4","+",157637,"repeat_type","AluSc8#SINE/Alu",0.157637
"12964","chr4","-",153010,"repeat_type","AluSc8#SINE/Alu",0.15301
"12965","chr5","+",147713,"repeat_type","AluSc8#SINE/Alu",0.147713
"12966","chr5","-",147546,"repeat_type","AluSc8#SINE/Alu",0.147546
"12967","chr6","+",163193,"repeat_type","AluSc8#SINE/Alu",0.163193
"12968","chr6","-",163676,"repeat_type","AluSc8#SINE/Alu",0.163676
"12969","chr7","+",163756,"repeat_type","AluSc8#SINE/Alu",0.163756
"12970","chr7","-",183831,"repeat_type","AluSc8#SINE/Alu",0.183831
"12971","chr8","+",124659,"repeat_type","AluSc8#SINE/Alu",0.124659
"12972","chr8","-",129426,"repeat_type","AluSc8#SINE/Alu",0.129426
"12973","chr9","+",120724,"repeat_type","AluSc8#SINE/Alu",0.120724
"12974","chr9","-",120881,"repeat_type","AluSc8#SINE/Alu",0.120881
"12975","chr10","+",136049,"repeat_type","AluSc8#SINE/Alu",0.136049
"12976","chr10","-",129810,"repeat_type","AluSc8#SINE/Alu",0.12981
"12977","chr11","+",124464,"repeat_type","AluSc8#SINE/Alu",0.124464
"12978","chr11","-",119563,"repeat_type","AluSc8#SINE/Alu",0.119563
"12979","chr12","+",135406,"repeat_type","AluSc8#SINE/Alu",0.135406
"12980","chr12","-",134829,"repeat_type","AluSc8#SINE/Alu",0.134829
"12981","chr13","+",75166,"repeat_type","AluSc8#SINE/Alu",0.075166
"12982","chr13","-",106411,"repeat_type","AluSc8#SINE/Alu",0.106411
"12983","chr14","+",83064,"repeat_type","AluSc8#SINE/Alu",0.083064
"12984","chr14","-",111773,"repeat_type","AluSc8#SINE/Alu",0.111773
"12985","chr15","+",103019,"repeat_type","AluSc8#SINE/Alu",0.103019
"12986","chr15","-",109063,"repeat_type","AluSc8#SINE/Alu",0.109063
"12987","chr16","+",127307,"repeat_type","AluSc8#SINE/Alu",0.127307
"12988","chr16","-",124158,"repeat_type","AluSc8#SINE/Alu",0.124158
"12989","chr17","+",151896,"repeat_type","AluSc8#SINE/Alu",0.151896
"12990","chr17","-",145059,"repeat_type","AluSc8#SINE/Alu",0.145059
"12991","chr18","+",56428,"repeat_type","AluSc8#SINE/Alu",0.056428
"12992","chr18","-",64288,"repeat_type","AluSc8#SINE/Alu",0.064288
"12993","chr19","+",121301,"repeat_type","AluSc8#SINE/Alu",0.121301
"12994","chr19","-",119845,"repeat_type","AluSc8#SINE/Alu",0.119845
"12995","chr20","+",60747,"repeat_type","AluSc8#SINE/Alu",0.060747
"12996","chr20","-",70913,"repeat_type","AluSc8#SINE/Alu",0.070913
"12997","chr21","+",40053,"repeat_type","AluSc8#SINE/Alu",0.040053
"12998","chr21","-",54164,"repeat_type","AluSc8#SINE/Alu",0.054164
"12999","chr22","+",71359,"repeat_type","AluSc8#SINE/Alu",0.071359
"13000","chr22","-",66451,"repeat_type","AluSc8#SINE/Alu",0.066451
"13001","chrX","+",123306,"repeat_type","AluSc8#SINE/Alu",0.123306
"13002","chrX","-",118121,"repeat_type","AluSc8#SINE/Alu",0.118121
"13003","chrY","+",24745,"repeat_type","AluSc8#SINE/Alu",0.024745
"13004","chrY","-",26513,"repeat_type","AluSc8#SINE/Alu",0.026513
"13005","chr1","+",90630,"repeat_type","AluSg4#SINE/Alu",0.09063
"13006","chr1","-",95929,"repeat_type","AluSg4#SINE/Alu",0.095929
"13007","chr2","+",83148,"repeat_type","AluSg4#SINE/Alu",0.083148
"13008","chr2","-",70642,"repeat_type","AluSg4#SINE/Alu",0.070642
"13009","chr3","+",57435,"repeat_type","AluSg4#SINE/Alu",0.057435
"13010","chr3","-",54256,"repeat_type","AluSg4#SINE/Alu",0.054256
"13011","chr4","+",42509,"repeat_type","AluSg4#SINE/Alu",0.042509
"13012","chr4","-",55435,"repeat_type","AluSg4#SINE/Alu",0.055435
"13013","chr5","+",45746,"repeat_type","AluSg4#SINE/Alu",0.045746
"13014","chr5","-",59906,"repeat_type","AluSg4#SINE/Alu",0.059906
"13015","chr6","+",52153,"repeat_type","AluSg4#SINE/Alu",0.052153
"13016","chr6","-",55913,"repeat_type","AluSg4#SINE/Alu",0.055913
"13017","chr7","+",65646,"repeat_type","AluSg4#SINE/Alu",0.065646
"13018","chr7","-",62315,"repeat_type","AluSg4#SINE/Alu",0.062315
"13019","chr8","+",48394,"repeat_type","AluSg4#SINE/Alu",0.048394
"13020","chr8","-",43868,"repeat_type","AluSg4#SINE/Alu",0.043868
"13021","chr9","+",40106,"repeat_type","AluSg4#SINE/Alu",0.040106
"13022","chr9","-",49319,"repeat_type","AluSg4#SINE/Alu",0.049319
"13023","chr10","+",45853,"repeat_type","AluSg4#SINE/Alu",0.045853
"13024","chr10","-",53266,"repeat_type","AluSg4#SINE/Alu",0.053266
"13025","chr11","+",45845,"repeat_type","AluSg4#SINE/Alu",0.045845
"13026","chr11","-",41815,"repeat_type","AluSg4#SINE/Alu",0.041815
"13027","chr12","+",50430,"repeat_type","AluSg4#SINE/Alu",0.05043
"13028","chr12","-",48945,"repeat_type","AluSg4#SINE/Alu",0.048945
"13029","chr13","+",29662,"repeat_type","AluSg4#SINE/Alu",0.029662
"13030","chr13","-",29527,"repeat_type","AluSg4#SINE/Alu",0.029527
"13031","chr14","+",36926,"repeat_type","AluSg4#SINE/Alu",0.036926
"13032","chr14","-",35521,"repeat_type","AluSg4#SINE/Alu",0.035521
"13033","chr15","+",38152,"repeat_type","AluSg4#SINE/Alu",0.038152
"13034","chr15","-",35275,"repeat_type","AluSg4#SINE/Alu",0.035275
"13035","chr16","+",51812,"repeat_type","AluSg4#SINE/Alu",0.051812
"13036","chr16","-",58546,"repeat_type","AluSg4#SINE/Alu",0.058546
"13037","chr17","+",68110,"repeat_type","AluSg4#SINE/Alu",0.06811
"13038","chr17","-",57922,"repeat_type","AluSg4#SINE/Alu",0.057922
"13039","chr18","+",21849,"repeat_type","AluSg4#SINE/Alu",0.021849
"13040","chr18","-",22711,"repeat_type","AluSg4#SINE/Alu",0.022711
"13041","chr19","+",63669,"repeat_type","AluSg4#SINE/Alu",0.063669
"13042","chr19","-",69223,"repeat_type","AluSg4#SINE/Alu",0.069223
"13043","chr20","+",29987,"repeat_type","AluSg4#SINE/Alu",0.029987
"13044","chr20","-",26806,"repeat_type","AluSg4#SINE/Alu",0.026806
"13045","chr21","+",27416,"repeat_type","AluSg4#SINE/Alu",0.027416
"13046","chr21","-",10578,"repeat_type","AluSg4#SINE/Alu",0.010578
"13047","chr22","+",33819,"repeat_type","AluSg4#SINE/Alu",0.033819
"13048","chr22","-",26695,"repeat_type","AluSg4#SINE/Alu",0.026695
"13049","chrX","+",46718,"repeat_type","AluSg4#SINE/Alu",0.046718
"13050","chrX","-",48197,"repeat_type","AluSg4#SINE/Alu",0.048197
"13051","chrY","+",10233,"repeat_type","AluSg4#SINE/Alu",0.010233
"13052","chrY","-",13613,"repeat_type","AluSg4#SINE/Alu",0.013613
"13053","chr1","+",23250,"repeat_type","AluYh3#SINE/Alu",0.02325
"13054","chr1","-",22503,"repeat_type","AluYh3#SINE/Alu",0.022503
"13055","chr2","+",21064,"repeat_type","AluYh3#SINE/Alu",0.021064
"13056","chr2","-",19763,"repeat_type","AluYh3#SINE/Alu",0.019763
"13057","chr3","+",18244,"repeat_type","AluYh3#SINE/Alu",0.018244
"13058","chr3","-",16644,"repeat_type","AluYh3#SINE/Alu",0.016644
"13059","chr4","+",14779,"repeat_type","AluYh3#SINE/Alu",0.014779
"13060","chr4","-",11619,"repeat_type","AluYh3#SINE/Alu",0.011619
"13061","chr5","+",13806,"repeat_type","AluYh3#SINE/Alu",0.013806
"13062","chr5","-",12269,"repeat_type","AluYh3#SINE/Alu",0.012269
"13063","chr6","+",17621,"repeat_type","AluYh3#SINE/Alu",0.017621
"13064","chr6","-",10977,"repeat_type","AluYh3#SINE/Alu",0.010977
"13065","chr7","+",15756,"repeat_type","AluYh3#SINE/Alu",0.015756
"13066","chr7","-",16990,"repeat_type","AluYh3#SINE/Alu",0.01699
"13067","chr8","+",9750,"repeat_type","AluYh3#SINE/Alu",0.00975
"13068","chr8","-",13476,"repeat_type","AluYh3#SINE/Alu",0.013476
"13069","chr9","+",9125,"repeat_type","AluYh3#SINE/Alu",0.009125
"13070","chr9","-",11925,"repeat_type","AluYh3#SINE/Alu",0.011925
"13071","chr10","+",15726,"repeat_type","AluYh3#SINE/Alu",0.015726
"13072","chr10","-",10986,"repeat_type","AluYh3#SINE/Alu",0.010986
"13073","chr11","+",16346,"repeat_type","AluYh3#SINE/Alu",0.016346
"13074","chr11","-",12544,"repeat_type","AluYh3#SINE/Alu",0.012544
"13075","chr12","+",13536,"repeat_type","AluYh3#SINE/Alu",0.013536
"13076","chr12","-",11322,"repeat_type","AluYh3#SINE/Alu",0.011322
"13077","chr13","+",6278,"repeat_type","AluYh3#SINE/Alu",0.006278
"13078","chr13","-",7235,"repeat_type","AluYh3#SINE/Alu",0.007235
"13079","chr14","+",8785,"repeat_type","AluYh3#SINE/Alu",0.008785
"13080","chr14","-",10339,"repeat_type","AluYh3#SINE/Alu",0.010339
"13081","chr15","+",8804,"repeat_type","AluYh3#SINE/Alu",0.008804
"13082","chr15","-",5939,"repeat_type","AluYh3#SINE/Alu",0.005939
"13083","chr16","+",12890,"repeat_type","AluYh3#SINE/Alu",0.01289
"13084","chr16","-",15043,"repeat_type","AluYh3#SINE/Alu",0.015043
"13085","chr17","+",10971,"repeat_type","AluYh3#SINE/Alu",0.010971
"13086","chr17","-",16866,"repeat_type","AluYh3#SINE/Alu",0.016866
"13087","chr18","+",6330,"repeat_type","AluYh3#SINE/Alu",0.00633
"13088","chr18","-",6911,"repeat_type","AluYh3#SINE/Alu",0.006911
"13089","chr19","+",13189,"repeat_type","AluYh3#SINE/Alu",0.013189
"13090","chr19","-",16236,"repeat_type","AluYh3#SINE/Alu",0.016236
"13091","chr20","+",5015,"repeat_type","AluYh3#SINE/Alu",0.005015
"13092","chr20","-",6887,"repeat_type","AluYh3#SINE/Alu",0.006887
"13093","chr21","+",5011,"repeat_type","AluYh3#SINE/Alu",0.005011
"13094","chr21","-",4050,"repeat_type","AluYh3#SINE/Alu",0.00405
"13095","chr22","+",5368,"repeat_type","AluYh3#SINE/Alu",0.005368
"13096","chr22","-",5035,"repeat_type","AluYh3#SINE/Alu",0.005035
"13097","chrX","+",11346,"repeat_type","AluYh3#SINE/Alu",0.011346
"13098","chrX","-",13490,"repeat_type","AluYh3#SINE/Alu",0.01349
"13099","chrY","+",3451,"repeat_type","AluYh3#SINE/Alu",0.003451
"13100","chrY","-",2844,"repeat_type","AluYh3#SINE/Alu",0.002844
"13101","chr1","+",117252,"repeat_type","MER20#DNA/hAT-Charlie",0.117252
"13102","chr1","-",135562,"repeat_type","MER20#DNA/hAT-Charlie",0.135562
"13103","chr2","+",162078,"repeat_type","MER20#DNA/hAT-Charlie",0.162078
"13104","chr2","-",126213,"repeat_type","MER20#DNA/hAT-Charlie",0.126213
"13105","chr3","+",137614,"repeat_type","MER20#DNA/hAT-Charlie",0.137614
"13106","chr3","-",130068,"repeat_type","MER20#DNA/hAT-Charlie",0.130068
"13107","chr4","+",89632,"repeat_type","MER20#DNA/hAT-Charlie",0.089632
"13108","chr4","-",95563,"repeat_type","MER20#DNA/hAT-Charlie",0.095563
"13109","chr5","+",106728,"repeat_type","MER20#DNA/hAT-Charlie",0.106728
"13110","chr5","-",106396,"repeat_type","MER20#DNA/hAT-Charlie",0.106396
"13111","chr6","+",93250,"repeat_type","MER20#DNA/hAT-Charlie",0.09325
"13112","chr6","-",98526,"repeat_type","MER20#DNA/hAT-Charlie",0.098526
"13113","chr7","+",78209,"repeat_type","MER20#DNA/hAT-Charlie",0.078209
"13114","chr7","-",82902,"repeat_type","MER20#DNA/hAT-Charlie",0.082902
"13115","chr8","+",65181,"repeat_type","MER20#DNA/hAT-Charlie",0.065181
"13116","chr8","-",73816,"repeat_type","MER20#DNA/hAT-Charlie",0.073816
"13117","chr9","+",68542,"repeat_type","MER20#DNA/hAT-Charlie",0.068542
"13118","chr9","-",73780,"repeat_type","MER20#DNA/hAT-Charlie",0.07378
"13119","chr10","+",65486,"repeat_type","MER20#DNA/hAT-Charlie",0.065486
"13120","chr10","-",77680,"repeat_type","MER20#DNA/hAT-Charlie",0.07768
"13121","chr11","+",69276,"repeat_type","MER20#DNA/hAT-Charlie",0.069276
"13122","chr11","-",73222,"repeat_type","MER20#DNA/hAT-Charlie",0.073222
"13123","chr12","+",87467,"repeat_type","MER20#DNA/hAT-Charlie",0.087467
"13124","chr12","-",94036,"repeat_type","MER20#DNA/hAT-Charlie",0.094036
"13125","chr13","+",51533,"repeat_type","MER20#DNA/hAT-Charlie",0.051533
"13126","chr13","-",52738,"repeat_type","MER20#DNA/hAT-Charlie",0.052738
"13127","chr14","+",56084,"repeat_type","MER20#DNA/hAT-Charlie",0.056084
"13128","chr14","-",50324,"repeat_type","MER20#DNA/hAT-Charlie",0.050324
"13129","chr15","+",48379,"repeat_type","MER20#DNA/hAT-Charlie",0.048379
"13130","chr15","-",53340,"repeat_type","MER20#DNA/hAT-Charlie",0.05334
"13131","chr16","+",103460,"repeat_type","MER20#DNA/hAT-Charlie",0.10346
"13132","chr16","-",120454,"repeat_type","MER20#DNA/hAT-Charlie",0.120454
"13133","chr17","+",54396,"repeat_type","MER20#DNA/hAT-Charlie",0.054396
"13134","chr17","-",68254,"repeat_type","MER20#DNA/hAT-Charlie",0.068254
"13135","chr18","+",35115,"repeat_type","MER20#DNA/hAT-Charlie",0.035115
"13136","chr18","-",41504,"repeat_type","MER20#DNA/hAT-Charlie",0.041504
"13137","chr19","+",77051,"repeat_type","MER20#DNA/hAT-Charlie",0.077051
"13138","chr19","-",88462,"repeat_type","MER20#DNA/hAT-Charlie",0.088462
"13139","chr20","+",75146,"repeat_type","MER20#DNA/hAT-Charlie",0.075146
"13140","chr20","-",75825,"repeat_type","MER20#DNA/hAT-Charlie",0.075825
"13141","chr21","+",27010,"repeat_type","MER20#DNA/hAT-Charlie",0.02701
"13142","chr21","-",28159,"repeat_type","MER20#DNA/hAT-Charlie",0.028159
"13143","chr22","+",23524,"repeat_type","MER20#DNA/hAT-Charlie",0.023524
"13144","chr22","-",30333,"repeat_type","MER20#DNA/hAT-Charlie",0.030333
"13145","chrX","+",123275,"repeat_type","MER20#DNA/hAT-Charlie",0.123275
"13146","chrX","-",124874,"repeat_type","MER20#DNA/hAT-Charlie",0.124874
"13147","chrY","+",25235,"repeat_type","MER20#DNA/hAT-Charlie",0.025235
"13148","chrY","-",19608,"repeat_type","MER20#DNA/hAT-Charlie",0.019608
"13149","chr1","+",133068,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.133068
"13150","chr1","-",135428,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.135428
"13151","chr2","+",118062,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.118062
"13152","chr2","-",132583,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.132583
"13153","chr3","+",138476,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.138476
"13154","chr3","-",119501,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.119501
"13155","chr4","+",78992,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.078992
"13156","chr4","-",47896,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.047896
"13157","chr5","+",57233,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.057233
"13158","chr5","-",84696,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.084696
"13159","chr6","+",116810,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.11681
"13160","chr6","-",94035,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.094035
"13161","chr7","+",102599,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.102599
"13162","chr7","-",120061,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.120061
"13163","chr8","+",79075,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.079075
"13164","chr8","-",69201,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.069201
"13165","chr9","+",80401,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.080401
"13166","chr9","-",92980,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.09298
"13167","chr10","+",90962,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.090962
"13168","chr10","-",50865,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.050865
"13169","chr11","+",63590,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.06359
"13170","chr11","-",83802,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.083802
"13171","chr12","+",66988,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.066988
"13172","chr12","-",63481,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.063481
"13173","chr13","+",34437,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.034437
"13174","chr13","-",54658,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.054658
"13175","chr14","+",51408,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.051408
"13176","chr14","-",62209,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.062209
"13177","chr15","+",84751,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.084751
"13178","chr15","-",118546,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.118546
"13179","chr16","+",24046,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.024046
"13180","chr16","-",24548,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.024548
"13181","chr17","+",64241,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.064241
"13182","chr17","-",79728,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.079728
"13183","chr18","+",39502,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.039502
"13184","chr18","-",21490,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.02149
"13185","chr19","+",3501,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.003501
"13186","chr19","-",3470,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.00347
"13187","chr20","+",31272,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.031272
"13188","chr20","-",48033,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.048033
"13189","chr21","+",6938,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.006938
"13190","chr21","-",10231,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.010231
"13191","chr22","+",13891,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.013891
"13192","chr22","-",20747,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.020747
"13193","chrX","+",68193,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.068193
"13194","chrX","-",37132,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.037132
"13195","chrY","+",3463,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.003463
"13196","chrY","-",8914,"repeat_type","hAT-1_Mam#DNA/hAT-Tag1",0.008914
"13197","chr1","+",60170,"repeat_type","MER63D#DNA/hAT-Tip100",0.06017
"13198","chr1","-",25632,"repeat_type","MER63D#DNA/hAT-Tip100",0.025632
"13199","chr2","+",42416,"repeat_type","MER63D#DNA/hAT-Tip100",0.042416
"13200","chr2","-",36054,"repeat_type","MER63D#DNA/hAT-Tip100",0.036054
"13201","chr3","+",52014,"repeat_type","MER63D#DNA/hAT-Tip100",0.052014
"13202","chr3","-",22804,"repeat_type","MER63D#DNA/hAT-Tip100",0.022804
"13203","chr4","+",39229,"repeat_type","MER63D#DNA/hAT-Tip100",0.039229
"13204","chr4","-",21088,"repeat_type","MER63D#DNA/hAT-Tip100",0.021088
"13205","chr5","+",28801,"repeat_type","MER63D#DNA/hAT-Tip100",0.028801
"13206","chr5","-",24065,"repeat_type","MER63D#DNA/hAT-Tip100",0.024065
"13207","chr6","+",43230,"repeat_type","MER63D#DNA/hAT-Tip100",0.04323
"13208","chr6","-",23842,"repeat_type","MER63D#DNA/hAT-Tip100",0.023842
"13209","chr7","+",30223,"repeat_type","MER63D#DNA/hAT-Tip100",0.030223
"13210","chr7","-",23986,"repeat_type","MER63D#DNA/hAT-Tip100",0.023986
"13211","chr8","+",23060,"repeat_type","MER63D#DNA/hAT-Tip100",0.02306
"13212","chr8","-",21362,"repeat_type","MER63D#DNA/hAT-Tip100",0.021362
"13213","chr9","+",19502,"repeat_type","MER63D#DNA/hAT-Tip100",0.019502
"13214","chr9","-",23068,"repeat_type","MER63D#DNA/hAT-Tip100",0.023068
"13215","chr10","+",38008,"repeat_type","MER63D#DNA/hAT-Tip100",0.038008
"13216","chr10","-",19505,"repeat_type","MER63D#DNA/hAT-Tip100",0.019505
"13217","chr11","+",24949,"repeat_type","MER63D#DNA/hAT-Tip100",0.024949
"13218","chr11","-",15798,"repeat_type","MER63D#DNA/hAT-Tip100",0.015798
"13219","chr12","+",29867,"repeat_type","MER63D#DNA/hAT-Tip100",0.029867
"13220","chr12","-",29549,"repeat_type","MER63D#DNA/hAT-Tip100",0.029549
"13221","chr13","+",24046,"repeat_type","MER63D#DNA/hAT-Tip100",0.024046
"13222","chr13","-",15837,"repeat_type","MER63D#DNA/hAT-Tip100",0.015837
"13223","chr14","+",15959,"repeat_type","MER63D#DNA/hAT-Tip100",0.015959
"13224","chr14","-",3804,"repeat_type","MER63D#DNA/hAT-Tip100",0.003804
"13225","chr15","+",15675,"repeat_type","MER63D#DNA/hAT-Tip100",0.015675
"13226","chr15","-",15911,"repeat_type","MER63D#DNA/hAT-Tip100",0.015911
"13227","chr16","+",21145,"repeat_type","MER63D#DNA/hAT-Tip100",0.021145
"13228","chr16","-",8449,"repeat_type","MER63D#DNA/hAT-Tip100",0.008449
"13229","chr17","+",16691,"repeat_type","MER63D#DNA/hAT-Tip100",0.016691
"13230","chr17","-",17187,"repeat_type","MER63D#DNA/hAT-Tip100",0.017187
"13231","chr18","+",16391,"repeat_type","MER63D#DNA/hAT-Tip100",0.016391
"13232","chr18","-",13110,"repeat_type","MER63D#DNA/hAT-Tip100",0.01311
"13233","chr19","+",14670,"repeat_type","MER63D#DNA/hAT-Tip100",0.01467
"13234","chr19","-",13526,"repeat_type","MER63D#DNA/hAT-Tip100",0.013526
"13235","chr20","+",20482,"repeat_type","MER63D#DNA/hAT-Tip100",0.020482
"13236","chr20","-",12437,"repeat_type","MER63D#DNA/hAT-Tip100",0.012437
"13237","chr21","+",15591,"repeat_type","MER63D#DNA/hAT-Tip100",0.015591
"13238","chr21","-",9654,"repeat_type","MER63D#DNA/hAT-Tip100",0.009654
"13239","chr22","+",11457,"repeat_type","MER63D#DNA/hAT-Tip100",0.011457
"13240","chr22","-",7387,"repeat_type","MER63D#DNA/hAT-Tip100",0.007387
"13241","chrX","+",20585,"repeat_type","MER63D#DNA/hAT-Tip100",0.020585
"13242","chrX","-",9736,"repeat_type","MER63D#DNA/hAT-Tip100",0.009736
"13243","chrY","+",2121,"repeat_type","MER63D#DNA/hAT-Tip100",0.002121
"13244","chr1","+",120000,"repeat_type","MER66-int#LTR/ERV1",0.12
"13245","chr1","-",55200,"repeat_type","MER66-int#LTR/ERV1",0.0552
"13246","chr2","+",23321,"repeat_type","MER66-int#LTR/ERV1",0.023321
"13247","chr2","-",76839,"repeat_type","MER66-int#LTR/ERV1",0.076839
"13248","chr3","+",36388,"repeat_type","MER66-int#LTR/ERV1",0.036388
"13249","chr3","-",20009,"repeat_type","MER66-int#LTR/ERV1",0.020009
"13250","chr4","+",60428,"repeat_type","MER66-int#LTR/ERV1",0.060428
"13251","chr4","-",26647,"repeat_type","MER66-int#LTR/ERV1",0.026647
"13252","chr5","+",25405,"repeat_type","MER66-int#LTR/ERV1",0.025405
"13253","chr5","-",19228,"repeat_type","MER66-int#LTR/ERV1",0.019228
"13254","chr6","+",31780,"repeat_type","MER66-int#LTR/ERV1",0.03178
"13255","chr6","-",21108,"repeat_type","MER66-int#LTR/ERV1",0.021108
"13256","chr7","+",7222,"repeat_type","MER66-int#LTR/ERV1",0.007222
"13257","chr7","-",37352,"repeat_type","MER66-int#LTR/ERV1",0.037352
"13258","chr8","+",25150,"repeat_type","MER66-int#LTR/ERV1",0.02515
"13259","chr8","-",25101,"repeat_type","MER66-int#LTR/ERV1",0.025101
"13260","chr9","+",27036,"repeat_type","MER66-int#LTR/ERV1",0.027036
"13261","chr9","-",10636,"repeat_type","MER66-int#LTR/ERV1",0.010636
"13262","chr10","+",7664,"repeat_type","MER66-int#LTR/ERV1",0.007664
"13263","chr10","-",21222,"repeat_type","MER66-int#LTR/ERV1",0.021222
"13264","chr11","+",61057,"repeat_type","MER66-int#LTR/ERV1",0.061057
"13265","chr11","-",29023,"repeat_type","MER66-int#LTR/ERV1",0.029023
"13266","chr12","+",21888,"repeat_type","MER66-int#LTR/ERV1",0.021888
"13267","chr12","-",11925,"repeat_type","MER66-int#LTR/ERV1",0.011925
"13268","chr13","+",25883,"repeat_type","MER66-int#LTR/ERV1",0.025883
"13269","chr13","-",19334,"repeat_type","MER66-int#LTR/ERV1",0.019334
"13270","chr14","+",20968,"repeat_type","MER66-int#LTR/ERV1",0.020968
"13271","chr14","-",7961,"repeat_type","MER66-int#LTR/ERV1",0.007961
"13272","chr15","+",7094,"repeat_type","MER66-int#LTR/ERV1",0.007094
"13273","chr16","+",7181,"repeat_type","MER66-int#LTR/ERV1",0.007181
"13274","chr16","-",13396,"repeat_type","MER66-int#LTR/ERV1",0.013396
"13275","chr17","-",4586,"repeat_type","MER66-int#LTR/ERV1",0.004586
"13276","chr18","+",15347,"repeat_type","MER66-int#LTR/ERV1",0.015347
"13277","chr18","-",10790,"repeat_type","MER66-int#LTR/ERV1",0.01079
